,title,singer,id,Genre,Lyric
10010,I Wont Say Im In Love,Hercules,,"Âu Mỹ, Pop",
10011,Im Lang,Lil Knight & PA,,"Việt Nam, V-Pop","Mỗi lúc em bên anh 
 Sao lòng em không vui đi 
 Những lúc như thế em đang nghĩ gì 
 Có phải em hết yêu anh 
 Hãy nói cho anh nghe đi 
 Để anh không phải bận tâm 
 Anh đã thấy em đi bên ai 
 Tay cầm tay vai sát vai 
 Anh đã thấy em vui 
 Như chưa từng được vui 
 Có phải em muốn quên anh 
 Hãy nói ra hết những gì 
 Mà từ lâu em vẫn cố kìm nén 
 Cứ yêu nhau ngoài mặt 
 Nhưng bên trong 
 Luôn trách móc anh có hay 
 Cứ yêu thật thà nhưng sau lưng em 
 Quan tâm ai mỗi ngày 
 Có bao giờ thật lòng yêu anh 
 Như anh đã từng 
 Có bao giờ em vì anh khóc chưa 
 Cứ yêu em dại khờ 
 Trong khi em luôn muốn 
 Thoát ra khỏi anh 
 Cứ yêu làm chi khi con tim em 
 Trao ai không phải anh 
 Có lẽ anh phải tập quên em 
 Anh không muốn đâu 
 Có lẽ anh phải im lặng và ra đi 
 Anh đã thấy em đi bên ai 
 Tay cầm tay vai sát vai 
 Anh đã thấy em vui 
 Như chưa từng được vui 
 Có phải em muốn quên anh 
 Hãy nói ra hết những gì 
 Mà từ lâu em vẫn cố kìm nén 
 Cứ yêu nhau ngoài mặt 
 Nhưng bên trong 
 Luôn trách móc anh có hay 
 Cứ yêu thật thà nhưng sau lưng em 
 Quan tâm ai mỗi ngày 
 Có bao giờ thật lòng yêu anh 
 Như anh đã từng 
 Có bao giờ em vì anh khóc chưa 
 Cứ yêu em dại khờ 
 Trong khi em luôn muốn 
 Thoát ra khỏi anh 
 Cứ yêu làm chi khi con tim em 
 Trao ai không phải anh 
 Có lẽ anh phải tập quên em 
 Anh không muốn đâu 
 Có lẽ anh phải im lặng và ra đi 
 Cứ yêu nhau ngoài mặt 
 Nhưng bên trong 
 Luôn trách móc anh có hay 
 Cứ yêu thật thà nhưng sau lưng em 
 Quan tâm ai mỗi ngày 
 Có bao giờ thật lòng yêu anh 
 Như anh đã từng 
 Có bao giờ em vì anh khóc chưa 
 Cứ yêu em dại khờ 
 Trong khi em luôn muốn 
 Thoát ra khỏi anh 
 Cứ yêu làm chi khi con tim em 
 Trao ai không phải anh 
 Có lẽ anh phải tập quên em 
 Anh không muốn đâu 
 Có lẽ anh phải im lặng và ra đi 
 Có lẽ anh phải im lặng và ra đi"
10012,Khóc Huynh Đệ (Bi Long Đại Ca),ATo,,,
10013,Phoi Phai,Tuấn Ngọc,,Việt Nam,"Rồi bỗng mi cay lệ nhòa 
 Oh no... 
 Chẳng một lời nói khi em bước đi 
 Chỉ còn mình anh khắc ghi ân ái khi ta biệt ly 
 Nỡ sao quên tình yêu đầu 
 Cùng bao ngày tháng khi ta bên nhau 
 Người đã gieo ngàn nỗi sầu 
 Người bước đi mau 
 Chỉ riêng mình anh với bao niềm đau 
 Biết em không quay về đây 
 Biết bao yêu thương vụt bay 
 Cớ sao riêng anh còn ôm mê say? 
 Vẫn mong từng ngày ước ao còn đầy 
 Chờ đợi em trong ngàn đắng cay 
 Nỗi cô đơn nghe nhiều thêm 
 Mỗi khi anh nhớ về em 
 Và nhớ đến ngày xưa êm đềm 
 Biết đêm còn dài 
 Biết em không trở lại 
 Và biết tình đã phôi phai... 
 Tưởng là giấc mơ khi cách xa 
 Tình vừa mới hôm qua 
 Rồi bỗng mi cay lệ nhòa 
 Oh no... 
 Chẳng một lời nói khi em bước đi 
 Chỉ còn mình anh khắc ghi ân ái khi ta biệt ly 
 Nỡ sao quên tình yêu đầu 
 Cùng bao ngày tháng khi ta bên nhau 
 Người đã gieo ngàn nỗi sầu 
 Người bước đi mau 
 Chỉ riêng mình anh với bao niềm đau 
 Biết em không quay về đây 
 Biết bao yêu thương vụt bay 
 Cớ sao riêng anh còn ôm mê say? 
 Vẫn mong từng ngày ước ao còn đầy 
 Chờ đợi em trong ngàn đắng cay 
 Nỗi cô đơn nghe nhiều thêm 
 Mỗi khi anh nhớ về em 
 Và nhớ đến ngày xưa êm đềm 
 Biết đêm còn dài 
 Biết em không trở lại 
 Và biết tình đã phôi phai... 
 Và em... 
 Giờ này đã mãi xa thật rồi 
 Từng đêm trôi 
 Một mình đơn côi 
 Chờ đợi đôi vòng tay 
 Bây giờ đã xa rời mãi phương trời mới 
 Nỗi cô đơn nghe nhiều thêm 
 Mỗi khi anh nhớ về em 
 Và nhớ đến ngày xưa êm đềm 
 Biết đêm còn dài 
 Biết em không trở lại 
 Và biết tình đã phôi phai..."
10014,Right Here Waiting,Richard Marx,,"Âu Mỹ, Pop","I hear your voice on the line', ""But it doesn't stop the pain"", 'If I see you next to never 
 How can we say forever 
 Wherever you go 
 Whatever you do 
 I will be right here waiting for you 
 Whatever it takes 
 Or how my heart breaks 
 I will be right here waiting for you 
 I took for granted, all the times 
 That I thought would last somehow 
 I hear the laughter, I taste the tears', ""But I can't get near you now"", ""Oh, can't you see it baby"", ""You've got me goin, crazy"", 'Wherever you go 
 Whatever you do 
 I will be right here waiting for you 
 Whatever it takes 
 Or how my heart breaks 
 I will be right here waiting for you 
 I wonder how we can survive 
 This romance', ""But in the end if I'm with you"", ""I'll take the chance"", ""Oh, can't you see it baby"", ""You've got me goin, crazy"", 'Wherever you go 
 Whatever you do 
 I will be right here waiting for you 
 Whatever it takes 
 Or how my heart breaks 
 I will be right here waiting for you 
 Waiting for you"
10015,Right Here Waiting,Sam Milby,,"Âu Mỹ, Pop","I hear your voice on the line', ""But it doesn't stop the pain"", 'If I see you next to never 
 How can we say forever 
 Wherever you go 
 Whatever you do 
 I will be right here waiting for you 
 Whatever it takes 
 Or how my heart breaks 
 I will be right here waiting for you 
 I took for granted, all the times 
 That I thought would last somehow 
 I hear the laughter, I taste the tears', ""But I can't get near you now"", ""Oh, can't you see it baby"", ""You've got me goin, crazy"", 'Wherever you go 
 Whatever you do 
 I will be right here waiting for you 
 Whatever it takes 
 Or how my heart breaks 
 I will be right here waiting for you 
 I wonder how we can survive 
 This romance', ""But in the end if I'm with you"", ""I'll take the chance"", ""Oh, can't you see it baby"", ""You've got me goin, crazy"", 'Wherever you go 
 Whatever you do 
 I will be right here waiting for you 
 Whatever it takes 
 Or how my heart breaks 
 I will be right here waiting for you 
 Waiting for you"
10016,Về Xứ Nghệ Cùng Em,Bùi Lê Mận,,"Việt Nam, Nhạc Trữ Tình, Nhạc Dân Ca - Quê Hương","Về đó rồi 
 Anh thương nhiều hơn nữa 
 Bởi nơi em thắm đượm tình quê 
 Anh có về xứ Nghệ với em không 
 Có dòng sông tuổi thơ em lặn lội 
 Câu dân ca bắt nguồn từ đồng ruộng 
 Để ai xa vẫn luôn nhớ về quê 
 Nặng nghĩa ân tình 
 Câu ví dặm người ơi 
 Về đi anh, về với quê em 
 Nước biếc non xanh 
 Đường quanh quanh xứ Nghệ 
 Về bên em nghe lời thương của mẹ 
 Anh về đây mần rể 
 Thương thầy mẹ cùng em 
 Dù một nắng hai sương 
 Nhưng ấm bao tình nghĩa 
 Rằng gừng cay muối mặn 
 Tiếng nói nỏ giống ai 
 Chứ đã nói yêu anh 
 Lời yêu thương còn mãi 
 Anh thương 
 Anh có về xứ Nghệ với em không 
 Anh thương 
 Theo em về xứ Nghệ cùng em 
 Anh có về xứ Nghệ với em không 
 Đất miền Trung mưa dầm nắng gió 
 Về đó rồi 
 Anh thương nhiều hơn nữa 
 Bởi nơi em thắm đượm tình quê 
 Anh có về xứ Nghệ với em không 
 Có dòng sông tuổi thơ em lặn lội 
 Câu dân ca bắt nguồn từ đồng ruộng 
 Để ai xa vẫn luôn nhớ về quê 
 Nặng nghĩa ân tình 
 Câu ví dặm người ơi 
 Về đi anh, về với quê em 
 Nước biếc non xanh 
 Đường quanh quanh xứ Nghệ 
 Về bên em nghe lời thương của mẹ 
 Anh về đây mần rể 
 Thương thầy mẹ cùng em 
 Dù một nắng hai sương 
 Nhưng ấm bao tình nghĩa 
 Rằng gừng cay muối mặn 
 Tiếng nói nỏ giống ai 
 Chứ đã nói yêu anh 
 Lời yêu thương còn mãi 
 Anh thương 
 Anh có về xứ Nghệ với em không 
 Anh thương 
 Theo em về xứ Nghệ cùng em 
 Anh thương 
 Anh có về xứ Nghệ với em không 
 Anh thương 
 Theo em về xứ Nghệ cùng em"
10017,Xót Xa,Lâm Phi Quỳnh,,"Việt Nam, Nhạc Trữ Tình","Hỡi người yêu nhỏ 
 Từ miền đông đó khi nghe xuân sang 
 Có nhớ không anh 
 Trên đường thênh thang 
 Lần đầu bên nhau 
 Em lo mênh mang lo phút ly tan 
 Giữa ngày vui mới cuộc tình phơi phới 
 Em nghe như đã 
 Chôn chặt bước chân người xa 
 Hố sâu thời gian thời gian đắng cay 
 Sẽ đưa tình ta về trong phũ phàng 
 Em yêu ngày qua em nhớ tình xa 
 Trong bơ vơ 
 Em mơ thêm một lần dang dở 
 Anh biết không anh tình duyên nát tan 
 Sẽ đem hồn em vùi trong nắng tàn 
 Những gì chưa nói dù lời trăn trối 
 Em xin mang theo muôn kiếp trong tim 
 Anh là vì sao vì sao trên cao 
 Muôn hoa đua nhau 
 Mong chút tơ duyên 
 Biết tình không lối thà tìm thương đau 
 Xa nhau để tránh 
 Âm thầm ngỡ ngàng về sau 
 Giấc mơ đẹp qua tình trong xót xa 
 Em mong nghìn sau 
 Tình không xóa nhòa 
 Em yêu ngày qua em nhớ tình xa 
 Trong bơ vơ 
 Em mơ thêm một lần dang dở 
 Anh biết không anh tình duyên nát tan 
 Sẽ đem hồn em vùi trong nắng tàn 
 Những gì chưa nói dù lời trăn trối 
 Em xin mang theo muôn kiếp trong tim 
 Anh là vì sao vì sao trên cao 
 Muôn hoa đua nhau 
 Mong chút tơ duyên 
 Biết tình không lối thà tìm thương đau 
 Xa nhau để tránh 
 Âm thầm ngỡ ngàng về sau 
 Giấc mơ đẹp qua tình trong xót xa 
 Em mong nghìn sau 
 Tình không xóa nhòa 
 Em yêu ngày qua em nhớ tình ta"
10018,Ép Duyên,"YUNIBOO, Nam Anh",,Việt Nam,"Người yêu ơi 
 Từ nay mãi mãi xa nhau rồi 
 Đừng buồn nghe em 
 Vì lòng tôi cũng buồn thế thôi 
 Mẹ cha đã bóp nát tim rồi 
 Lỡ đành chia rẽ chúng ta thành đôi 
 Hỡi em ơi tình mình nào phai phôi 
 Cớ sao giờ đành ngậm ngùi đắng môi 
 Ngày hôm qua 
 Còn đâu đó tiếng em vui cười 
 Nào ngờ hôm nay 
 Còn tôi với hoang lạnh bóng đêm 
 Mẹ cha đã lỡ ép duyên em 
 Vui cùng ai đó đến nơi giàu sang 
 Để nhân gian 
 Càng thêm bao trái ngang 
 Nước mắt em 
 Buồn tình duyên lỡ làng 
 Thà là ngày xưa 
 Ta đừng nói yêu gì nhau 
 Để rồi ngày nay 
 Ôm sầu ngất niềm đau 
 Thà làm sỏi đá im lặng dưới biển sâu 
 Ôi thế nhân trăm ngàn lần đau 
 Vì mẹ cha đã 
 Không hiểu thấu cho lòng 
 Một người con gái 
 Không yêu thương phải lấy chồng 
 Rồi cùng ai đó 
 Vui mừng chúc rượu nồng 
 Còn riêng tôi nát tan cõi lòng 
 Ngày hôm qua 
 Còn đâu đó tiếng em vui cười 
 Nào ngờ hôm nay 
 Còn tôi với hoang lạnh bóng đêm 
 Mẹ cha đã lỡ ép duyên em 
 Vui cùng ai đó đến nơi giàu sang 
 Để nhân gian 
 Càng thêm bao trái ngang 
 Nước mắt em 
 Buồn tình duyên lỡ làng 
 Thà là ngày xưa 
 Ta đừng nói yêu gì nhau 
 Để rồi ngày nay 
 Ôm sầu ngất niềm đau 
 Thà làm sỏi đá im lặng dưới biển sâu 
 Ôi thế nhân trăm ngàn lần đau 
 Vì mẹ cha đã 
 Không hiểu thấu cho lòng 
 Một người con gái 
 Không yêu thương phải lấy chồng 
 Rồi cùng ai đó 
 Vui mừng chúc rượu nồng 
 Còn riêng tôi nát tan cõi lòng 
 Thà là ngày xưa 
 Ta đừng nói yêu gì nhau 
 Để rồi ngày nay 
 Ôm sầu ngất niềm đau 
 Thà làm sỏi đá im lặng dưới biển sâu 
 Ôi thế nhân trăm ngàn lần đau 
 Vì mẹ cha đã 
 Không hiểu thấu cho lòng 
 Một người con gái 
 Không yêu thương phải lấy chồng 
 Rồi cùng ai đó 
 Vui mừng chúc rượu nồng 
 Còn riêng tôi nát tan cõi lòng"
10019,7 Rings,Ariana Grande,,"Âu Mỹ, Pop","Girls with tattoos 
 Who like getting in trouble 
 Lashes and diamonds ATM machines 
 Buy myself all 
 Of my favorite things 
 Been through some bad shit 
 I should be a sad bitch 
 Who woulda thought', ""It'd turn me to a savage"", 'Rather be tied up 
 With calls and not strings 
 Write my own checks like 
 I write what I sing yeah', ""My wrist stop watchin'"", 'My neck is flossy 
 Make big deposits', ""My gloss is poppin'"", 'You like my hair 
 Gee thanks just bought it 
 I see it I like it 
 I want it I got it 
 I want it I got it 
 I want it I got it 
 I want it I got it 
 I want it I got it 
 You like my hair 
 Gee thanks just bought it 
 I see it I like it 
 I want it I got it 
 Wearing a ring', ""But ain't gon' be no MRS"", 'Bought matching diamonds 
 For six of my bitches', ""I'd rather spoil all"", 'My friends with my riches 
 Think retail therapy 
 My new addiction 
 Whoever said money', ""Can't solve your problems"", 'Must not have had 
 Enough money to solve them 
 They say which one', ""I say nah i want all of 'em"", 'Happiness is the same price 
 As red bottoms', ""My smile is beamin'"", ""My skin is gleamin'"", 'The way it shine', ""I know you've seen it"", 'I bought a crib 
 Just for the closet 
 Both his and hers 
 I want it I got it 
 I want it I got it 
 I want it I got it 
 I want it I got it 
 I want it I got it 
 You like my hair 
 Gee thanks just bought it 
 I see it I like it 
 I want it I got it 
 Yeah my receipts', ""Be lookin' like phone numbers"", ""If it ain't money"", 'Then wrong number 
 Black card is my business card', ""The way it be settin'"", 'The tone for me', ""I don't mean to brag"", 'But I be like 
 Put it in the bag yeah 
 When you see them racks 
 They stacked up like my ass yeah 
 Shoot go from 
 The store to the booth 
 Make it all back in one loop 
 Give me the loot 
 Never mind I got the juice 
 Nothing but net 
 When we shoot 
 Look at my neck 
 Look at my jet', ""Ain't got enough money"", 'To pay me respect', ""Ain't no budget"", ""When I'm on the set"", ""If I like it then that's"", 'What I get yeah 
 I want it I got it 
 I want it I got it 
 I want it I got it 
 I want it I got it 
 You like my hair 
 Gee thanks just bought it 
 I see it I like it 
 I want it I got it"
