,Unnamed: 0,title,singer,id,Genre,Lyric
363,363,Bài Hát Tặng Mẹ (Mama Angel),C Walk & Lil Shady,,,
364,364,Bài Hát Đôi Cho Em,Huy Mc & Thu Phương,,Việt Nam,"Một ngày nắng 
 Đang lên đầy 
 Một ngày yêu 
 Thương tươi mới 
 Lên đồi xinh xinh 
 Có em trong lòng mình 
 Và môi rất êm 
 Đang gần 
 Có xuân đây rồi 
 Ùa vào tay ta 
 Thơm ngát thôi 
 Lòng thênh thang 
 Để nắng ra vào 
 Tình đến 
 Nói thương cười tràn 
 Tình em tựa ngàn 
 Phiến lụa êm 
 Nhẹ nhàng đón người lên 
 Giờ tình 
 Làm thêm gió lay 
 Tóc em chờ 
 Làm tinh khôi 
 Hoà với nắng thành đôi 
 Hoà với gió ngàn khơi 
 Nghe như tình ta 
 Rất xinh 
 Ah ha 
 Và tiếng hát 
 Lên môi ngàn 
 Tình em 
 Thắm bên cỏ hoa 
 Từ chân mây 
 Lũ chim tìm về 
 Học ca 
 Tiếng yêu xuân thì 
 Tiếng yêu an hoà 
 Là của nhau 
 Xin hãy cất sâu 
 Dù mai sau 
 Cuồng phong ba nào 
 Tình vẫn cứ 
 Nguyên lời đầu 
 Tình em tựa ngàn 
 Phiến lụa êm 
 Nhẹ nhàng đón người lên 
 Giờ tình 
 Làm thêm gió lay 
 Tóc em chờ 
 Làm tinh khôi 
 Hoà với nắng thành đôi 
 Hoà với gió ngàn khơi 
 Nghe như tình ta 
 Rất xinh 
 Ah ha 
 Ah ha"
365,365,Bài Hát Đôi Cho Em,Quang Minh & Thu Phương,,Việt Nam,"Một ngày nắng 
 Đang lên đầy 
 Một ngày yêu 
 Thương tươi mới 
 Lên đồi xinh xinh 
 Có em trong lòng mình 
 Và môi rất êm 
 Đang gần 
 Có xuân đây rồi 
 Ùa vào tay ta 
 Thơm ngát thôi 
 Lòng thênh thang 
 Để nắng ra vào 
 Tình đến 
 Nói thương cười tràn 
 Tình em tựa ngàn 
 Phiến lụa êm 
 Nhẹ nhàng đón người lên 
 Giờ tình 
 Làm thêm gió lay 
 Tóc em chờ 
 Làm tinh khôi 
 Hoà với nắng thành đôi 
 Hoà với gió ngàn khơi 
 Nghe như tình ta 
 Rất xinh 
 Ah ha 
 Và tiếng hát 
 Lên môi ngàn 
 Tình em 
 Thắm bên cỏ hoa 
 Từ chân mây 
 Lũ chim tìm về 
 Học ca 
 Tiếng yêu xuân thì 
 Tiếng yêu an hoà 
 Là của nhau 
 Xin hãy cất sâu 
 Dù mai sau 
 Cuồng phong ba nào 
 Tình vẫn cứ 
 Nguyên lời đầu 
 Tình em tựa ngàn 
 Phiến lụa êm 
 Nhẹ nhàng đón người lên 
 Giờ tình 
 Làm thêm gió lay 
 Tóc em chờ 
 Làm tinh khôi 
 Hoà với nắng thành đôi 
 Hoà với gió ngàn khơi 
 Nghe như tình ta 
 Rất xinh 
 Ah ha 
 Ah ha"
366,366,Bài Học,Phạm Trưởng,,"Việt Nam, Nhạc Thiếu Nhi","Gặp Thầy em phải thưa 
 Thì em thật là ngoan 
 Mỗi khi chơi với bạn 
 Đừng trêu nhau khóc nhè 
 Đừng xô nhau té đau 
 Thì em thật là ngoan 
 Bé ngoan..thật ngoan.. 
 Bé ngoan ..thật ngoan.. 
 Bé ngoan .. thật ngoan.. 
 Bé ngoan.. thật ngoan.. !! 
 Mỗi khi đi học về 
 Gặp ai em cũng chào 
 Gặp ai em cũng thưa 
 Thì em thật là ngoan 
 Mỗi khi em vào bàn 
 Ngồi ăn với cả nhà 
 Mời xong em mới ăn 
 Thì em thật là ngoan 
 Bé ngoan .. thật ngoan.. 
 Bé ngoan.. thật ngoan .. 
 Bé ngoan .. thật ngoan.. 
 Bé ngoan.. thật ngoan ..! 
 Mỗi khi đi học về 
 Gặp ai em cũng chào 
 Gặp ai em cũng thưa 
 Thì em thật là ngoan 
 Mỗi khi em vào bàn 
 Ngồi ăn với cả nhà 
 Mời xong em mới ăn 
 Thì em thật là ngoan 
 Bé ngoan .. thật ngoan.. 
 Bé ngoan.. thật ngoan .. 
 Bé ngoan .. thật ngoan.. 
 Bé ngoan.. thật ngoan ..! 
 Mỗi khi ai đến chơi 
 Đều cho em bánh kẹo 
 Một tay em cám ơn 
 Thì em thật là ngoan 
 Nếu em có lỗi lầm 
 Làm cho ai phải buồn 
 Vòng tay xin lỗi ngay 
 Thì em thật là ngoan 
 Bé ngoan..thật ngoan.. 
 Bé ngoan ..thật ngoan.. 
 Bé ngoan .. thật ngoan.. 
 Bé ngoan.. thật ngoan.. !! 
 Mỗi khi ai đến chơi 
 Đều cho em bánh kẹo 
 Một tay em cám ơn 
 Thì em thật là ngoan 
 Nếu em có lỗi lầm 
 Làm cho ai phải buồn 
 Vòng tay xin lỗi ngay 
 Thì em thật là ngoan 
 Bé ngoan..thật ngoan.. 
 Bé ngoan ..thật ngoan.. 
 Bé ngoan .. thật ngoan.. 
 Bé ngoan.. thật ngoan.. !!"
367,367,Bài Học Tình Yêu,Phúc Pin,,"Rap Việt, Việt Nam",
368,368,Bài Không Tên Số 1,Duy Quang,,"Việt Nam, Nhạc Trữ Tình","Thẫn thờ bàn chân 
 Lối mòn dấu ai xưa 
 Xào xạc hàng cây nghiêng ngả 
 Rạo rực hồn em run lả 
 Tay tìm bàn tay 
 Ấm tình đã giao hòa 
 Nghìn lời cũng nói không hết 
 Nghìn lần vẫn thấy dở dang 
 Lững lờ như mây tụ tan 
 Đứng trong bóng chiều 
 Hôn vội làn môi 
 Cánh tay siết chặt 
 Mong đời ngừng trôi 
 Cõi trên đã nhìn xuống ta mỉm cười 
 Lồng lộng chiều tung mái tóc 
 Sâu thẩm hồn em đã khóc 
 Mong cầu rồi ra 
 Có ngày mãi sum vầy 
 Chiều vàng dìu nhau trong gió 
 Rì rào hàng dương thương nhớ 
 Thẫn thờ bàn chân 
 Lối mòn dấu ai xưa 
 Xào xạc hàng cây nghiêng ngả 
 Rạo rực hồn em run lả 
 Tay tìm bàn tay 
 Ấm tình đã giao hòa 
 Nghìn lời cũng nói không hết 
 Nghìn lần vẫn thấy dở dang 
 Lững lờ như mây tụ tan 
 Đứng trong bóng chiều 
 Hôn vội làn môi 
 Cánh tay siết chặt 
 Mong đời ngừng trôi 
 Cõi trên đã nhìn xuống ta mỉm cười 
 Lồng lộng chiều tung mái tóc 
 Sâu thẩm hồn em đã khóc 
 Mong cầu rồi ra 
 Có ngày mãi sum vầy 
 Mong cầu rồi ra 
 Có ngày mãi sum vầy"
369,369,Bài Không Tên Số 2,Hạ Vy & Nini,,"Việt Nam, Nhạc Trữ Tình","Nhiều cơn gió cuốn 
 Xoay xoay trong hồn 
 Và cơn đau này vẫn còn đây 
 Chiều về không buông nắng 
 Cho mây âm thầm 
 Một mình trong chiều vắng 
 Nhớ đôi môi mềm 
 Ngày nào ân cần trao thân 
 Tìm trong tháng ngày buồn 
 Đôi mắt nào khô đường tình chơ vơ 
 Đến cho nhau lời nói 
 Trên đời nào yêu người 
 Yêu nhau cho nhau nụ cười 
 Thương nhau cho nhau cuộc đời 
 Mà đời đâu biết đợi 
 Để tình nhân kết đôi 
 Yêu nhau yêu nhau một lần 
 Thương nhau thương cho một lần 
 Một lần thôi vĩnh biệt 
 Một lần thôi mất nhau 
 Thôi em đừng xót thương 
 Rồi ngày tháng phai đi 
 Thôi cuộc tình đó tan rồi 
 Không còn gì nữa tiếc mà chi 
 Để rồi oán trách nhau 
 Tay buông lơi tình mềm 
 Chân không theo tình bền 
 Chẳng giữ được nhau 
 Cho môi khô nụ cười 
 Quên tiếng hát yêu người 
 Cho đôi mắt tủi hờn rơi 
 Để lệ cuốn mất câu thề 
 Đêm sau mái tóc em dài 
 Buông xuôi xuôi theo dòng đời 
 Mà đời dài như tiếng Kinh cầu 
 Còn sầu mang đến cho nhau 
 Xin một lần xiết tay nhau 
 Một lần cuối cho nhau 
 Xin một lần vẫy tay chào 
 Thôi dòng đời đó cuốn người theo"
370,370,Bài Không Tên Số 2,Ngọc Bích,,"Việt Nam, Nhạc Trữ Tình","Nhiều cơn gió cuốn 
 Xoay xoay trong hồn 
 Và cơn đau này vẫn còn đây 
 Chiều về không buông nắng 
 Cho mây âm thầm 
 Một mình trong chiều vắng 
 Nhớ đôi môi mềm 
 Ngày nào ân cần trao thân 
 Tìm trong tháng ngày buồn 
 Đôi mắt nào khô đường tình chơ vơ 
 Đến cho nhau lời nói 
 Trên đời nào yêu người 
 Yêu nhau cho nhau nụ cười 
 Thương nhau cho nhau cuộc đời 
 Mà đời đâu biết đợi 
 Để tình nhân kết đôi 
 Yêu nhau yêu nhau một lần 
 Thương nhau thương cho một lần 
 Một lần thôi vĩnh biệt 
 Một lần thôi mất nhau 
 Thôi em đừng xót thương 
 Rồi ngày tháng phai đi 
 Thôi cuộc tình đó tan rồi 
 Không còn gì nữa tiếc mà chi 
 Để rồi oán trách nhau 
 Tay buông lơi tình mềm 
 Chân không theo tình bền 
 Chẳng giữ được nhau 
 Cho môi khô nụ cười 
 Quên tiếng hát yêu người 
 Cho đôi mắt tủi hờn rơi 
 Để lệ cuốn mất câu thề 
 Đêm sau mái tóc em dài 
 Buông xuôi xuôi theo dòng đời 
 Mà đời dài như tiếng Kinh cầu 
 Còn sầu mang đến cho nhau 
 Xin một lần xiết tay nhau 
 Một lần cuối cho nhau 
 Xin một lần vẫy tay chào 
 Thôi dòng đời đó cuốn người theo"
371,371,Bài Không Tên Số 37,Khánh Hà,,"Việt Nam, Nhạc Trữ Tình","Rưng rưng lệ ướt mi 
 Chênh vênh một lối đi 
 Lang thang 
 Ngày tháng xuân thì 
 Ði đâu tìm kiếm chi 
 Vui đâu được mấy khi 
 Trăm năm đâu dài nữa 
 Vẫn như đang còn thơ 
 Vẫn mơ mộng mộng mơ 
 Vẫn ta xưa người cũ 
 Chỉ là một cơn gió 
 Theo tháng năm vật vờ 
 Rơi rụng vào hư vô 
 Rưng rưng lệ ướt mi 
 Chênh vênh một lối đi 
 Lang thang 
 Ngày tháng xuân thì 
 Ði đâu tìm kiếm chi 
 Vui đâu được mấy khi 
 Trăm năm đâu dài nữa 
 Vẫn như đang còn thơ 
 Vẫn mơ mộng mộng mơ 
 Vẫn ta xưa người cũ 
 Chỉ là một cơn gió 
 Theo tháng năm vật vờ 
 Rơi rụng vào hư vô 
 Tình yêu đến từ đâu 
 Bao giờ? 
 Tình yêu đến rồi đi 
 Bất ngờ 
 Ðời như vẫn còn đang 
 Ngóng chờ 
 Người sao vẫn còn nỡ 
 Hững hờ 
 Tình yêu đến từ đâu 
 Bao giờ? 
 Tình yêu đến rồi đi 
 Bất ngờ 
 Ðời như vẫn còn đang 
 Ngóng chờ 
 Người sao vẫn còn nỡ 
 Hững hờ"
372,372,Bài Không Tên Số 4,Ngọc Lan,,,"Đời con gái cũng cần dĩ vãng 
 Mà em tôi chỉ còn tương lai 
 Mai về sau nước mắt có cạn 
 Khi xa đời thương cho đàn con 
 Triệu người quen có mấy người thân 
 Khi lìa trần có mấy người đưa 
 Lệ xóa cho em được không 
 Những kỷ niệm đắng 
 Lời nói yêu thương 
 Ngày xưa có trở về tìm 
 Đếm cho em giây phút mặn nồng 
 Giữ cho em mái tóc bồng 
 Lời anh nói sẽ còn mãi đấy 
 Chuyện mai sau xin gửi trên tay 
 Khóc cho vơi đi những nhục hình 
 Nói cho quên đi những tội tình 
 Đời con gái cũng cần dĩ vãng 
 Mà em tôi chỉ còn tương lai 
 Mai về sau nước mắt có cạn 
 Khi xa đời thương cho đàn con 
 Triệu người quen có mấy người thân 
 Khi lìa trần có mấy người đưa 
 Lệ xóa cho em được không 
 Những kỷ niệm đắng 
 Lời nói yêu thương 
 Ngày xưa có trở về tìm 
 Đếm cho em giây phút mặn nồng 
 Giữ cho em mái tóc bồng 
 Lời anh nói sẽ còn mãi đấy 
 Chuyện mai sau xin gửi trên tay 
 Lời anh nói sẽ còn mãi đấy 
 Chuyện mai sau xin gửi trên tay"
373,373,Bài Không Tên Số 5,Elvis Phương,,"Việt Nam, Nhạc Trữ Tình","Tiếng nói thơ dại ngày ấy 
 Bây giờ mộng đời bay cao 
 Góp hết tương lai vào tiếng 
 Yêu thương trao em một đời 
 Hãy sắt se đợi ngày tới 
 Mai rồi ngọt bùi sẻ chia 
 Mai rồi ngọt bùi sẻ chia 
 Nâng niu cô đơn từng ngày 
 Xoa tay khi em vào đời 
 Mà đời còn nhiều đắng cay 
 Hãy đến chia nhau nghèo khó 
 Quên lo tương lai mịt mù 
 Hãy cố yêu người mà sống 
 Lâu rồi đời mình cũng qua 
 Lâu rồi đời mình cũng qua 
 Xin em đôi tay nuột nà 
 Xin em đôi môi thật thà 
 Thật thà chịu nhiều xót xa 
 Hãy cố vươn lên mà đứng 
 Tô son lên môi lạnh lùng 
 Hãy cố quên người mà sống 
 Lâu rồi đời mình cũng qua 
 Quấn quít vân vê tà áo 
 Run run đôi môi mở chào 
 Tiếng nói thơ dại ngày ấy 
 Bây giờ mộng đời bay cao 
 Góp hết tương lai vào tiếng 
 Yêu thương trao em một đời 
 Hãy sắt se đợi ngày tới 
 Mai rồi ngọt bùi sẽ chia 
 Mai rồi ngọt bùi sẽ chia 
 Nâng niu cô đơn từng ngày 
 Xoa tay khi em vào đời 
 Mà đời còn nhiều đắng cay 
 Hãy đến chia nhau nghèo khó 
 Quên lo tương lai mịt mù 
 Hãy cố yêu người mà sống 
 Lâu rồi đời mình cũng qua 
 Lâu rồi đời mình cũng qua 
 Xin em đôi tay nuột nà 
 Xin em đôi môi thật thà 
 Thật thà chịu nhiều xót xa 
 Hãy cố vươn lên mà đứng 
 Tô son lên môi lạnh lùng 
 Hãy cố quên người mà sống 
 Lâu rồi đời mình cũng qua 
 Hãy cố yêu người mà sống 
 Lâu rồi đời mình cũng qua"
374,374,Bài Không Tên Số 5,Ngọc Bích,,"Việt Nam, Nhạc Trữ Tình","Tiếng nói thơ dại ngày ấy 
 Bây giờ mộng đời bay cao 
 Góp hết tương lai vào tiếng 
 Yêu thương trao em một đời 
 Hãy sắt se đợi ngày tới 
 Mai rồi ngọt bùi sẻ chia 
 Mai rồi ngọt bùi sẻ chia 
 Nâng niu cô đơn từng ngày 
 Xoa tay khi em vào đời 
 Mà đời còn nhiều đắng cay 
 Hãy đến chia nhau nghèo khó 
 Quên lo tương lai mịt mù 
 Hãy cố yêu người mà sống 
 Lâu rồi đời mình cũng qua 
 Lâu rồi đời mình cũng qua 
 Xin em đôi tay nuột nà 
 Xin em đôi môi thật thà 
 Thật thà chịu nhiều xót xa 
 Hãy cố vươn lên mà đứng 
 Tô son lên môi lạnh lùng 
 Hãy cố quên người mà sống 
 Lâu rồi đời mình cũng qua 
 Quấn quít vân vê tà áo 
 Run run đôi môi mở chào 
 Tiếng nói thơ dại ngày ấy 
 Bây giờ mộng đời bay cao 
 Góp hết tương lai vào tiếng 
 Yêu thương trao em một đời 
 Hãy sắt se đợi ngày tới 
 Mai rồi ngọt bùi sẽ chia 
 Mai rồi ngọt bùi sẽ chia 
 Nâng niu cô đơn từng ngày 
 Xoa tay khi em vào đời 
 Mà đời còn nhiều đắng cay 
 Hãy đến chia nhau nghèo khó 
 Quên lo tương lai mịt mù 
 Hãy cố yêu người mà sống 
 Lâu rồi đời mình cũng qua 
 Lâu rồi đời mình cũng qua 
 Xin em đôi tay nuột nà 
 Xin em đôi môi thật thà 
 Thật thà chịu nhiều xót xa 
 Hãy cố vươn lên mà đứng 
 Tô son lên môi lạnh lùng 
 Hãy cố quên người mà sống 
 Lâu rồi đời mình cũng qua 
 Hãy cố yêu người mà sống 
 Lâu rồi đời mình cũng qua"
375,375,Bài Không Tên Số 6,Duy Quang,,"Việt Nam, Nhạc Trữ Tình","Chờ mộng ấp hơi nồng 
 Tình lấp cho đầy hư không 
 Tìm nhau thắp đêm tìm nhau 
 Ướp môi tìm nhau 
 Với tay tìm nhau 
 Chiêm bao mặc áo tình nhân 
 Đôi lời nguyện thương thân suốt đời 
 Chờ nhau xót xa chờ nhau 
 Hắt hiu chờ nhau 
 Năm vàng ngày héo 
 Thôi em màu môi cũng nhạt 
 Chìm theo suối mê thời gian 
 Đêm mưa lũ tìm về 
 Một cơn lốc xoay đời quên đời 
 Lời ngày đó ân cần 
 Tìm đến ôm đèn trong đêm 
 Nhớ nhau tìm đến nhau 
 Nắng mưa ngược xuôi 
 Đời mình cơn lốc xoáy 
 Mai mốt rồi thương vay 
 Nếu yêu nhau xin nhau 
 Thương cuộc đời khô héo 
 Xin dịu dàng dắt dìu 
 Tình yêu đến trong tự nhiên 
 Có xin được đâu 
 Có van được đâu 
 Em trao người hết tình em 
 Một lòng nguyện trung trinh suốt đời 
 Về sau biết đi về đâu 
 Đêm nay gió xôn xao 
 Ngoài kia đã vang lời mở chào 
 Chờ mộng ấp hơi nồng 
 Tình lấp cho đầy hư không 
 Tìm nhau thắp đêm tìm nhau 
 Ướp môi tìm nhau 
 Với tay tìm nhau 
 Chiêm bao mặc áo tình nhân 
 Đôi lời nguyện thương thân suốt đời 
 Chờ nhau xót xa chờ nhau 
 Hắt hiu chờ nhau 
 Năm vàng ngày héo 
 Thôi em màu môi cũng nhạt 
 Chìm theo suối mê thời gian 
 Đêm mưa lũ tìm về 
 Một cơn lốc xoay đời quên đời 
 Lời ngày đó ân cần 
 Tìm đến ôm đèn trong đêm 
 Nhớ nhau tìm đến nhau 
 Nắng mưa ngược xuôi 
 Đời mình cơn lốc xoáy 
 Mai mốt rồi thương vay 
 Nếu yêu nhau xin nhau 
 Thương cuộc đời khô héo 
 Xin dịu dàng dắt dìu 
 Tình yêu đến trong tự nhiên 
 Có xin được đâu 
 Có van được đâu 
 Em trao người hết tình em 
 Một lòng nguyện trung trinh suốt đời 
 Về sau biết đi về đâu 
 Tìm nhau thắp đêm tìm nhau 
 Ướp môi tìm nhau 
 Với tay tìm nhau 
 Chiêm bao mặc áo tình nhân 
 Đôi lời nguyện thương thân suốt đời 
 Chờ nhau xót xa chờ nhau"
376,376,Bài Không Tên Số 7,Khánh Hà,,"Việt Nam, Nhạc Trữ Tình","Nắng sầu lên hơi ấm 
 Hơ dịu tình đau 
 Ngày tàn im lắng 
 Yêu người làm tóc trắng 
 Tâm sự rồi đêm đắng 
 Như lệ giờ biết nhau 
 Đêm vỗ về nuôi nấng 
 Đêm trao ngọt ngào hương phấn 
 Buông lơi dòng tóc mở 
 Trên vùng ngày tháng vật vờ 
 Thân em giờ hoang phế 
 Lê theo thời gian giông gió 
 Thôi cũng đành cúi xuống 
 Cho mộng đời thoát đi 
 Một đời đổ cho tình yêu 
 Từng đêm dòng nước mắt 
 Sẽ nâng niu đời nhau đớn đau em 
 Sẽ cho nhau đời nhau xót xa em 
 Dắt đưa mối hận đời người 
 Trả lại nước mắt 
 Cho mảnh đời son sắc 
 Thôi rồi em cũng mất 
 Cho tình cúi đầu 
 Một mình đi mãi 
 Trên đường dài không thấy 
 Ai người quen tôi đấy 
 Bao giờ đời sẽ vui 
 Đêm vỗ về nuôi nấng 
 Đêm trao ngọt ngào hương phấn 
 Buông lơi dòng tóc mở 
 Trên vùng ngày tháng vật vờ 
 Thân em giờ hoang phế 
 Lê theo thời gian giông gió 
 Thôi cũng đành cúi xuống 
 Cho mộng đời thoát đi 
 Một đời đổ cho tình yêu 
 Từng đêm dòng nước mắt 
 Sẽ nâng niu đời nhau đớn đau em 
 Sẽ cho nhau đời nhau xót xa em 
 Dắt đưa mối hận đời người 
 Trả lại nước mắt 
 Cho mảnh đời son sắc 
 Thôi rồi em cũng mất 
 Cho tình cúi đầu 
 Một mình đi mãi 
 Trên đường dài không thấy 
 Ai người quen tôi đấy 
 Bao giờ đời sẽ vui"
377,377,Bài Không Tên Số 8,Nguyễn Khang,,"Việt Nam, Nhạc Trữ Tình","Chiều trông cho mềm mây ươm nắng 
 Nắng đợi chiều nắng say 
 Nắng nhuộm chiều hây hây 
 Ngày đi qua vài lần buồn phiền 
 Người quen với cuộc tình đảo điên 
 Người quen một vòng tay ôm nhớ 
 Có buồn nhưng vẫn chưa 
 Bao giờ bằng hôm nay 
 Vắng nhau một đêm 
 Càng xa thêm nghìn trùng 
 Tiếc nhau một đêm 
 Rồi mai thêm ngại ngùng 
 Bao lâu rồi tiếc 
 Những ngày còn ấu thơ 
 Lần tìm trong nụ hôn 
 Lời nguyền xưa mặn đắng 
 Về đâu tâm hồn này bềnh bồng 
 Về đâu thân này mòn mỏi không 
 Về sau và nhiều năm sau nữa 
 Có buồn nhưng vẫn chưa 
 Bao giờ bằng hôm nay 
 Chiều thắm ru hồn người bềnh bồng 
 Chiều không im gọi người đợi mong 
 Chiều trông cho mềm mây ươm nắng 
 Nắng đợi chiều nắng say 
 Nắng nhuộm chiều hây hây 
 Ngày đi qua vài lần buồn phiền 
 Người quen với cuộc tình đảo điên 
 Người quen một vòng tay ôm nhớ 
 Có buồn nhưng vẫn chưa 
 Bao giờ bằng hôm nay 
 Vắng nhau một đêm 
 Càng xa thêm nghìn trùng 
 Tiếc nhau một đêm 
 Rồi mai thêm ngại ngùng 
 Bao lâu rồi tiếc 
 Những ngày còn ấu thơ 
 Lần tìm trong nụ hôn 
 Lời nguyền xưa mặn đắng 
 Về đâu tâm hồn này bềnh bồng 
 Về đâu thân này mòn mỏi không 
 Về sau và nhiều năm sau nữa 
 Có buồn nhưng vẫn chưa 
 Bao giờ bằng hôm nay 
 Về sau và nhiều năm sau nữa 
 Có buồn nhưng vẫn chưa 
 Bao giờ bằng hôm nay 
 Về sau và nhiều năm sau nữa 
 Có buồn nhưng vẫn chưa 
 Bao giờ bằng hôm nay"
378,378,Bài Không Tên Số 9,Châu Đình An,,"Việt Nam, Nhạc Trữ Tình","Giọt nắng loe trong đầu 
 Bàn tay trơ đốt khâu 
 Lệ ứa ra hai hàng 
 Lệ thương thân đã tàn 
 Nghìn xót xa cũng muộn 
 Rồi mai sau nhớ lần đầu 
 Mình yêu nhau có thương nhau 
 Mình cho nhau nỗi đớn đau 
 Chợt yêu nhau đã xa nhau 
 Chợt xa nhau đã quên mau 
 Thôi đó em xa rồi 
 Nước mắt rơi qua đời 
 Chìm trong một cơn mê thôi 
 Chìm trong một cơn mê thôi 
 Ngày nuôi tình yêu lớn đây 
 Đêm đắp khao khát lên đầy 
 Một lần đã trót cho nhau 
 Là lần lìa xa mãi nhau 
 Đâu biết có nắng trong đầu 
 Đâu biết môi thắm sẽ nhàu 
 Một đời cày sới nỗi sầu 
 Một đời vun sới niềm đau 
 Ngày đến mang tin buồn 
 Thời gian trôi về nguồn 
 Giọt nắng loe trong đầu 
 Bàn tay trơ đốt khâu 
 Lệ ứa ra hai hàng 
 Lệ thương thân đã tàn 
 Nghìn xót xa cũng muộn 
 Rồi mai sau nhớ lần đầu 
 Mình yêu nhau có thương nhau 
 Mình cho nhau nỗi đớn đau 
 Chợt yêu nhau đã xa nhau 
 Chợt xa nhau đã quên mau 
 Thôi đó em xa rồi 
 Nước mắt rơi qua đời 
 Chìm trong một cơn mê thôi 
 Chìm trong một cơn mê thôi 
 Ngày nuôi tình yêu lớn đây 
 Đêm đắp khao khát lên đầy 
 Một lần đã trót cho nhau 
 Là lần lìa xa mãi nhau 
 Đâu biết có nắng trong đầu 
 Đâu biết môi thắm sẽ nhàu 
 Một đời cày sới nỗi sầu 
 Một đời vun sới niềm đau 
 Đời mình là cơn lốc xoáy 
 Mai mốt rồi thương vay"
379,379,Bài Không Tên Số 9,Khánh Nguyên,,"Việt Nam, Nhạc Trữ Tình","Giọt nắng loe trong đầu 
 Bàn tay trơ đốt khâu 
 Lệ ứa ra hai hàng 
 Lệ thương thân đã tàn 
 Nghìn xót xa cũng muộn 
 Rồi mai sau nhớ lần đầu 
 Mình yêu nhau có thương nhau 
 Mình cho nhau nỗi đớn đau 
 Chợt yêu nhau đã xa nhau 
 Chợt xa nhau đã quên mau 
 Thôi đó em xa rồi 
 Nước mắt rơi qua đời 
 Chìm trong một cơn mê thôi 
 Chìm trong một cơn mê thôi 
 Ngày nuôi tình yêu lớn đây 
 Đêm đắp khao khát lên đầy 
 Một lần đã trót cho nhau 
 Là lần lìa xa mãi nhau 
 Đâu biết có nắng trong đầu 
 Đâu biết môi thắm sẽ nhàu 
 Một đời cày sới nỗi sầu 
 Một đời vun sới niềm đau 
 Ngày đến mang tin buồn 
 Thời gian trôi về nguồn 
 Giọt nắng loe trong đầu 
 Bàn tay trơ đốt khâu 
 Lệ ứa ra hai hàng 
 Lệ thương thân đã tàn 
 Nghìn xót xa cũng muộn 
 Rồi mai sau nhớ lần đầu 
 Mình yêu nhau có thương nhau 
 Mình cho nhau nỗi đớn đau 
 Chợt yêu nhau đã xa nhau 
 Chợt xa nhau đã quên mau 
 Thôi đó em xa rồi 
 Nước mắt rơi qua đời 
 Chìm trong một cơn mê thôi 
 Chìm trong một cơn mê thôi 
 Ngày nuôi tình yêu lớn đây 
 Đêm đắp khao khát lên đầy 
 Một lần đã trót cho nhau 
 Là lần lìa xa mãi nhau 
 Đâu biết có nắng trong đầu 
 Đâu biết môi thắm sẽ nhàu 
 Một đời cày sới nỗi sầu 
 Một đời vun sới niềm đau 
 Đời mình là cơn lốc xoáy 
 Mai mốt rồi thương vay"
380,380,Bài Không Tên Số Bảy,Lệ Quyên,,"Việt Nam, Nhạc Trữ Tình","Chờ mộng ấp hơi nồng 
 Tình lấp cho đầy hư không 
 Tìm nhau thắp đêm tìm nhau 
 Ướp môi tìm nhau 
 Với tay tìm nhau 
 Chiêm bao mặc áo tình nhân 
 Đôi lời nguyện thương thân suốt đời 
 Chờ nhau xót xa chờ nhau 
 Hắt hiu chờ nhau 
 Năm vàng ngày héo 
 Thôi em màu môi cũng nhạt 
 Chìm theo suối mê thời gian 
 Đêm mưa lũ tìm về 
 Một cơn lốc xoay đời quên đời 
 Lời ngày đó ân cần 
 Tìm đến ôm đèn trong đêm 
 Nhớ nhau tìm đến nhau 
 Nắng mưa ngược xuôi 
 Đời mình cơn lốc xoáy 
 Mai mốt rồi thương vay 
 Nếu yêu nhau xin nhau 
 Thương cuộc đời khô héo 
 Xin dịu dàng dắt dìu 
 Tình yêu đến trong tự nhiên 
 Có xin được đâu 
 Có van được đâu 
 Em trao người hết tình em 
 Một lòng nguyện trung trinh suốt đời 
 Về sau biết đi về đâu 
 Đêm nay gió xôn xao 
 Ngoài kia đã vang lời mở chào 
 Chờ mộng ấp hơi nồng 
 Tình lấp cho đầy hư không 
 Tìm nhau thắp đêm tìm nhau 
 Ướp môi tìm nhau 
 Với tay tìm nhau 
 Chiêm bao mặc áo tình nhân 
 Đôi lời nguyện thương thân suốt đời 
 Chờ nhau xót xa chờ nhau 
 Hắt hiu chờ nhau 
 Năm vàng ngày héo 
 Thôi em màu môi cũng nhạt 
 Chìm theo suối mê thời gian 
 Đêm mưa lũ tìm về 
 Một cơn lốc xoay đời quên đời 
 Lời ngày đó ân cần 
 Tìm đến ôm đèn trong đêm 
 Nhớ nhau tìm đến nhau 
 Nắng mưa ngược xuôi 
 Đời mình cơn lốc xoáy 
 Mai mốt rồi thương vay 
 Nếu yêu nhau xin nhau 
 Thương cuộc đời khô héo 
 Xin dịu dàng dắt dìu 
 Tình yêu đến trong tự nhiên 
 Có xin được đâu 
 Có van được đâu 
 Em trao người hết tình em 
 Một lòng nguyện trung trinh suốt đời 
 Về sau biết đi về đâu 
 Tìm nhau thắp đêm tìm nhau 
 Ướp môi tìm nhau 
 Với tay tìm nhau 
 Chiêm bao mặc áo tình nhân 
 Đôi lời nguyện thương thân suốt đời 
 Chờ nhau xót xa chờ nhau"
