,id,title,singer,Genre,Lyric
16,100205,Anh Không Muốn Mất Em,Ngô Huy Đồng,Việt Nam,"Này người yêu của anh 
 Em có hiểu anh nói 
 Những lời nói 
 Chân thật từ trái tim 
 Rằng anh yêu mình em 
 Anh chỉ yêu có một 
 Mà người ơi 
 Tại sao em không hiểu 
 Những lỗi lầm của anh 
 Do anh quá nông nổi 
 Người yêu ơi 
 Anh biết sai lầm kể từ đây 
 Nhìn em xinh làm sao 
 Anh biết anh hối hận 
 Giờ gặp em 
 Ngàn lần anh muốn nói 
 Này người yêu của anh 
 Anh không muốn 
 Mất em lần thứ hai 
 Này người yêu của anh 
 Anh không muốn 
 Trái tim mình phải đau 
 Vì anh biết đời anh 
 Không thể sống thiếu được em 
 Này người yêu của anh 
 Anh không muốn 
 Mất em lần nữa đâu 
 Vì anh biết tim em 
 Đã trói chặt trái tim của anh 
 Nên giờ đây anh mới 
 Biết được 
 Và giờ anh đây 
 Anh đã hiểu được 
 Anh yêu em 
 Yêu nhiều lắm 
 Người biết không 
 Này người yêu của anh 
 Em có hiểu anh nói 
 Những lời nói 
 Chân thật từ trái tim 
 Rằng anh yêu mình em 
 Anh chỉ yêu có một 
 Mà người ơi 
 Tại sao em không hiểu 
 Những lỗi lầm của anh 
 Do anh quá nông nổi 
 Người yêu ơi 
 Anh biết sai lầm là tại anh 
 Nhìn em xinh làm sao 
 Anh biết anh hối hận 
 Giờ gặp em 
 Ngàn lần anh phải nói 
 Này người yêu của anh 
 Anh không muốn 
 Mất em lần thứ hai 
 Này người yêu của anh 
 Anh không muốn 
 Trái tim mình phải đau 
 Vì anh biết đời anh 
 Không thể sống thiếu được em 
 Này người yêu của anh 
 Anh không muốn 
 Mất em lần nữa đâu 
 Vì anh biết tim em 
 Đã trói chặt trái tim của anh 
 Nên giờ đây anh mới 
 Biết được 
 Và giờ anh đây 
 Anh đã hiểu được 
 Anh yêu em 
 Yêu nhiều lắm 
 Người có hay 
 Này người yêu của anh 
 Anh không muốn 
 Mất em lần thứ hai 
 Này người yêu của anh 
 Anh không muốn 
 Trái tim mình phải đau 
 Vì anh biết đời anh 
 Không thể sống thiếu được em 
 Này người yêu của anh 
 Anh không muốn 
 Mất em lần nữa đâu 
 Vì anh biết tim em 
 Đã trói chặt trái tim của anh 
 Nên giờ đây anh mới 
 Biết được 
 Và giờ anh đây 
 Anh đã hiểu được 
 Em yêu ơi 
 Anh không muốn 
 Mất em... 
 Lần thứ hai"
17,100209,Anh Không Muốn Thương Hại Em,Nhất Khang,,
18,100211,Anh Không Ngờ (Remix),Lưu Gia Thắng,"Việt Nam, V-Pop","Anh đã nói 
 Nói tiếng yêu em 
 Là sẽ yêu em đến suốt đời 
 Anh đã nói 
 Nói tiếng yêu người 
 Mình em mà thôi 
 Màn đêm xuống 
 Anh nhớ thương em 
 Nhớ ấm êm 
 Giây phút tuyệt vời 
 Mà giờ sao 
 Anh khóc rã rời 
 Cho con tim lẻ loi 
 Anh không ngờ rằng hai chúng ta 
 Sẽ phải đi về nơi rất xa 
 Anh không ngờ tình yêu chúng ta 
 Bao năm tháng qua 
 Nay sao nghiệt ngã 
 Anh không ngờ tình trên thế gian 
 Nếu đậm đà phải mang trái ngang 
 Anh không ngờ em đã bước đi 
 Vội vàng 
 Màn đêm xuống 
 Anh nhớ thương em 
 Nhớ ấm êm 
 Giây phút tuyệt vời 
 Mà giờ sao 
 Anh khóc rã rời 
 Cho con tim lẻ loi 
 Anh không ngờ rằng hai chúng ta 
 Sẽ phải đi về nơi rất xa 
 Anh không ngờ tình yêu chúng ta 
 Bao năm tháng qua 
 Nay sao nghiệt ngã 
 Anh không ngờ tình trên thế gian 
 Nếu đậm đà phải mang trái ngang 
 Anh không ngờ em đã bước đi 
 Vội vàng 
 Anh không ngờ rằng hai chúng ta 
 Sẽ phải đi về nơi rất xa 
 Anh không ngờ tình yêu chúng ta 
 Bao năm tháng qua 
 Nay sao nghiệt ngã 
 Anh không ngờ tình trên thế gian 
 Nếu đậm đà phải mang trái ngang 
 Anh không ngờ em đã bước đi 
 Vội vàng"
19,100214,Anh Không Níu Kéo (Remix),Lâm Chấn Huy,"Việt Nam, V-Pop","Hãy nín đi em 
 Lệ rơi ướt vai rồi 
 Thôi thương anh làm chi 
 Lau mắt đi em 
 Gần hết đêm rồi 
 Vì ngày mai 
 Em bước sang ngang 
 Dẫu biết rằng 
 Tình là giây oan 
 Dẫu biết rằng 
 Hợp rồi sẽ tan 
 Dẫu biết rằng 
 Cuộc tình trái ngang 
 Đã lỡ yêu rồi 
 Buồn cũng thế thôi 
 Khóc làm gì 
 Để anh xót xa 
 Anh không trách 
 Em đâu người ơi 
 Anh sẽ cười 
 Nhìn em bước đi 
 Nước mắt anh 
 Em không thấy đâu 
 Người ơi 
 Hãy tin rằng 
 Thời gian sẽ trôi 
 Và em sẽ quên anh 
 Nhanh thôi người ơi 
 Sẽ chỉ còn 
 Mình anh với anh 
 Và nỗi nhớ 
 Xé nát giấc mơ 
 Từng đêm 
 Hãy nín đi em 
 Lệ rơi ướt vai rồi 
 Thôi thương anh làm chi 
 Lau mắt đi em 
 Gần hết đêm rồi 
 Vì ngày mai 
 Em bước sang ngang 
 Dẫu biết rằng 
 Tình là giây oan 
 Dẫu biết rằng 
 Hợp rồi sẽ tan 
 Dẫu biết rằng 
 Cuộc tình trái ngang 
 Đã lỡ yêu rồi 
 Buồn cũng thế thôi 
 Khóc làm gì 
 Để anh xót xa 
 Anh không trách 
 Em đâu người ơi 
 Anh sẽ cười 
 Nhìn em bước đi 
 Nước mắt anh 
 Em không thấy đâu 
 Người ơi 
 Hãy tin rằng 
 Thời gian sẽ trôi 
 Và em sẽ quên anh 
 Nhanh thôi người ơi 
 Sẽ chỉ còn 
 Mình anh với anh 
 Và nỗi nhớ 
 Xé nát giấc mơ 
 Từng đêm 
 Khóc làm gì 
 Để anh xót xa 
 Anh không trách 
 Em đâu người ơi 
 Anh sẽ cười 
 Nhìn em bước đi 
 Nước mắt anh 
 Em không thấy đâu 
 Người ơi 
 Hãy tin rằng 
 Thời gian sẽ trôi 
 Và em sẽ quên anh 
 Nhanh thôi người ơi 
 Sẽ chỉ còn 
 Mình anh với anh 
 Và nỗi nhớ 
 Xé nát giấc mơ 
 Từng đêm 
 Sẽ chỉ còn 
 Mình anh với anh 
 Và nỗi nhớ 
 Xé nát giấc mơ 
 Từng đêm"
20,100215,Anh Không Níu Kéo (Remix),Vĩ MJ,"Việt Nam, Dance Việt","Hãy nín đi em 
 Lệ rơi ướt vai rồi 
 Thôi thương anh làm chi 
 Lau mắt đi em 
 Gần hết đêm rồi 
 Vì ngày mai 
 Em bước sang ngang 
 Dẫu biết rằng 
 Tình là giây oan 
 Dẫu biết rằng 
 Hợp rồi sẽ tan 
 Dẫu biết rằng 
 Cuộc tình trái ngang 
 Đã lỡ yêu rồi 
 Buồn cũng thế thôi 
 Khóc làm gì 
 Để anh xót xa 
 Anh không trách 
 Em đâu người ơi 
 Anh sẽ cười 
 Nhìn em bước đi 
 Nước mắt anh 
 Em không thấy đâu 
 Người ơi 
 Hãy tin rằng 
 Thời gian sẽ trôi 
 Thì em sẽ quên anh 
 Nhanh thôi người ơi 
 Sẽ chỉ còn 
 Mình anh với anh 
 Và nỗi nhớ 
 Xé nát giấc mơ 
 Từng đêm 
 Hãy nín đi em 
 Lệ rơi ướt vai rồi 
 Thôi thương anh làm chi 
 Lau mắt đi em 
 Gần hết đêm rồi 
 Vì ngày mai 
 Em bước sang ngang 
 Dẫu biết rằng 
 Tình là giây oan 
 Dẫu biết rằng 
 Hợp rồi sẽ tan 
 Dẫu biết rằng 
 Cuộc tình trái ngang 
 Đã lỡ yêu rồi 
 Buồn cũng thế thôi 
 Khóc làm gì 
 Để anh xót xa 
 Anh không trách 
 Em đâu người ơi 
 Anh sẽ cười 
 Nhìn em bước đi 
 Nước mắt anh 
 Em không thấy đâu 
 Người ơi 
 Hãy tin rằng 
 Thời gian sẽ trôi 
 Thì em sẽ quên anh 
 Nhanh thôi người ơi 
 Sẽ chỉ còn 
 Mình anh với anh 
 Và nỗi nhớ 
 Xé nát giấc mơ 
 Từng đêm 
 Khóc làm gì 
 Để anh xót xa 
 Anh không trách 
 Em đâu người ơi 
 Anh sẽ cười 
 Nhìn em bước đi 
 Nước mắt anh 
 Em không thấy đâu 
 Người ơi 
 Hãy tin rằng 
 Thời gian sẽ trôi 
 Và em sẽ quên anh 
 Nhanh thôi người ơi 
 Sẽ chỉ còn 
 Mình anh với anh 
 Và nỗi nhớ 
 Xé nát giấc mơ 
 Từng đêm 
 Sẽ chỉ còn 
 Mình anh với anh 
 Và nỗi nhớ 
 Xé nát giấc mơ 
 Từng đêm"
21,100219,Anh Không Níu Kéo Bốn,Lâm Chấn Huy,"Việt Nam, V-Pop","Hãy nín đi em 
 Lệ rơi ướt vai rồi 
 Thôi thương anh làm chi 
 Lau mắt đi em 
 Gần hết đêm rồi 
 Vì ngày mai 
 Em bước sang ngang 
 Dẫu biết rằng 
 Tình là giây oan 
 Dẫu biết rằng 
 Hợp rồi sẽ tan 
 Dẫu biết rằng 
 Cuộc tình trái ngang 
 Đã lỡ yêu rồi 
 Buồn cũng thế thôi 
 Khóc làm gì 
 Để anh xót xa 
 Anh không trách 
 Em đâu người ơi 
 Anh sẽ cười 
 Nhìn em bước đi 
 Nước mắt anh 
 Em không thấy đâu 
 Người ơi 
 Hãy tin rằng 
 Thời gian sẽ trôi 
 Và em sẽ quên anh 
 Nhanh thôi người ơi 
 Sẽ chỉ còn 
 Mình anh với anh 
 Và nỗi nhớ 
 Xé nát giấc mơ 
 Từng đêm 
 Hãy nín đi em 
 Lệ rơi ướt vai rồi 
 Thôi thương anh làm chi 
 Lau mắt đi em 
 Gần hết đêm rồi 
 Vì ngày mai 
 Em bước sang ngang 
 Dẫu biết rằng 
 Tình là giây oan 
 Dẫu biết rằng 
 Hợp rồi sẽ tan 
 Dẫu biết rằng 
 Cuộc tình trái ngang 
 Đã lỡ yêu rồi 
 Buồn cũng thế thôi 
 Khóc làm gì 
 Để anh xót xa 
 Anh không trách 
 Em đâu người ơi 
 Anh sẽ cười 
 Nhìn em bước đi 
 Nước mắt anh 
 Em không thấy đâu 
 Người ơi 
 Hãy tin rằng 
 Thời gian sẽ trôi 
 Và em sẽ quên anh 
 Nhanh thôi người ơi 
 Sẽ chỉ còn 
 Mình anh với anh 
 Và nỗi nhớ 
 Xé nát giấc mơ 
 Từng đêm 
 Khóc làm gì 
 Để anh xót xa 
 Anh không trách 
 Em đâu người ơi 
 Anh sẽ cười 
 Nhìn em bước đi 
 Nước mắt anh 
 Em không thấy đâu 
 Người ơi 
 Hãy tin rằng 
 Thời gian sẽ trôi 
 Và em sẽ quên anh 
 Nhanh thôi người ơi 
 Sẽ chỉ còn 
 Mình anh với anh 
 Và nỗi nhớ 
 Xé nát giấc mơ 
 Từng đêm 
 Sẽ chỉ còn 
 Mình anh với anh 
 Và nỗi nhớ 
 Xé nát giấc mơ 
 Từng đêm"
22,100220,Anh Không Phải Hạnh Phúc Của Em,Lâm Chấn Huy,,
23,100221,Anh Không Phải Đa Tình,Bảo Hưng,Việt Nam,"When James was at the table 
 I kept on seeing him look at me while he was with that other girl 
 Do you think he was just doing that to make me jealous? 
 Because he was totally texting me all night last night', ""And I don't know if it's a booty call or not"", 'So, what, what do you think? 
 Did, did you think that girl was pretty? 
 How did that girl even get in here? 
 Do you see her? 
 She is so short and that dress is so tacky 
 Who wears cheetah?', ""It's not even summer"", ""Why does the DJ keep on playing 'Summertime Sadness'?"", 'After we go to the bathroom can we go smoke a cigarette? 
 I really need one 
 But first, let me take a selfie 
 Let me take a selfie 
 Can you guys help me pick a filter', ""I don't know if I should go XXpro or Valencia"", 'I want to look tan 
 What should my caption be? 
 I want it to be clever 
 How about living with my bitches, #live 
 I only got ten likes in the last five minutes 
 Do you think I should take it down? 
 Let me take another selfie 
 Selfie, selfie 
 Let me take a selfie 
 Wait, pause 
 Jason just liked my selfie 
 What a creep 
 Is that guy sleeping over there? 
 Yeah, the one next to the girl with no shoes on', ""That's so ratchet"", 'That girl is such a fake model 
 She definitely bought all her Instagram followers 
 Who goes out on Mondays?', ""Okay, let's go take some shots"", ""Oh no, I feel like I'm gonna throw up"", ""Oh wait, nevermind, I'm fine, let's go dance"", ""There's no vodka at this table"", 'Do you know anyone else here? 
 Oh my god, Jason just texted me 
 Should I go home with him? 
 I guess I took a good selfie 
 Selfie, selfie, selfie.. 
 Let me take a selfie 
 Let me take a selfie 
 Let me take a selfie 
 Let me take a selfie"
24,100230,Anh Không Chấp Nhận,Đức Thịnh,,
25,100232,Anh Không Muốn Làm Khổ Em,Lâm Chấn Khang,,
